sku_code,description_nl,description_fr,packaging,unit,category
713638,Tonijn in zonnebloemolie,Thon à l'huile de tournesol,boîte 185 g,g,Conserves
595089,Tonijn in zonnebloemolie,Thon à l'huile de tournesol,boîte 1705 g,g,Conserves
793528,Augurken zuurzoet,Cornichons aigres-doux,bocal 720 ml,pièce,Conserves
929844,Augurken zuurzoet,Cornichons aigres-doux,seau 5 L,L,Conserves
504353,Kokosmelk 17%,Lait de coco 17%,boîte 400 ml,pièce,Conserves
636160,Kokosmelk 17%,Lait de coco 17%,carton 12 x 400 ml,carton,Conserves
437245,Mayonaise 80%,Mayonnaise 80%,seau 5 L,L,Sauces et condiments
603943,Mayonaise 80%,Mayonnaise 80%,tube 1 L,L,Sauces et condiments
347281,Mayonaise 80%,Mayonnaise 80%,carton 6 x 1 L,carton,Sauces et condiments
978826,Ketchup,Ketchup,seau 5 L,L,Sauces et condiments
962110,Ketchup,Ketchup,tube 1 L,L,Sauces et condiments
470123,Mosterd sterk,Moutarde forte,seau 5 kg,kg,Sauces et condiments
967220,Mosterd sterk,Moutarde forte,bocal 1 kg,kg,Sauces et condiments
282604,Cocktailsaus,Sauce cocktail,seau 5 L,L,Sauces et condiments
770964,Andalouse saus,Sauce andalouse,seau 5 L,L,Sauces et condiments
139202,Andalouse saus,Sauce andalouse,tube 1 L,L,Sauces et condiments
361556,Voorgebakken frieten 10 mm,Frites préfrites 10 mm,"sac 2,5 kg",kg,Surgelés
123016,Voorgebakken frieten 10 mm,Frites préfrites 10 mm,"carton 4 x 2,5 kg",carton,Surgelés
502783,Voorgebakken frieten 10 mm,Frites préfrites 10 mm,sac 10 kg,kg,Surgelés
621689,Voorgebakken frieten 11 mm,Frites préfrites 11 mm,"sac 2,5 kg",kg,Surgelés
219233,Voorgebakken frieten 11 mm,Frites préfrites 11 mm,"carton 4 x 2,5 kg",carton,Surgelés
738262,Voorgebakken frieten 7 mm,Frites préfrites 7 mm,"sac 2,5 kg",kg,Surgelés
107794,Aardappelkroketten,Croquettes de pomme de terre,"sac 2,5 kg",kg,Surgelés
906816,Aardappelkroketten,Croquettes de pomme de terre,"carton 4 x 2,5 kg",carton,Surgelés
925812,Bladerdeeg gerold,Pâte feuilletée en rouleau,rouleau 2 kg,kg,Surgelés
320524,Bladerdeeg gerold,Pâte feuilletée en rouleau,carton 6 x 2 kg,carton,Surgelés
361553,Croissants ongebakken 70 g,,carton 100 pièces,carton,Surgelés
928511,Croissants ongebakken 70 g,Croissants crus 70 g,carton 200 pièces,carton,Surgelés
739627,Chocoladebroodjes ongebakken 80 g,Pains au chocolat crus 80 g,carton 100 pièces,carton,Surgelés
331778,Chocoladebroodjes ongebakken 80 g,Pains au chocolat crus 80 g,carton 200 pièces,carton,Surgelés
598953,Frambozen heel,Framboises entières,sac 1 kg,kg,Surgelés
415861,Frambozen heel,Framboises entières,carton 5 x 1 kg,carton,Surgelés
759945,Bosvruchtenmix,Mélange fruits des bois,"sac 2,5 kg",kg,Surgelés
188551,Bladspinazie porties,Épinards en branches portions,"sac 2,5 kg",kg,Surgelés
750411,Soepgroenten mix,Julienne de légumes pour potage,"sac 2,5 kg",kg,Surgelés
437993,Soepgroenten mix,Julienne de légumes pour potage,"carton 4 x 2,5 kg",carton,Surgelés
554010,Vol-au-vent vulling,Garniture vol-au-vent,seau 5 kg,kg,Surgelés
957703,Visstick paneermeel,Bâtonnets de poisson panés,carton 5 kg,carton,Surgelés
728555,Plat water,Eau plate,"bouteille 1,5 L",L,Boissons
225448,Plat water,Eau plate,"pack 6 x 1,5 L",pack,Boissons
125818,Plat water,Eau plate,palette 72 packs,palette,Boissons
297889,Bruisend water,Eau pétillante,bouteille 1 L,L,Boissons
868171,Bruisend water,Eau pétillante,bac 24 x 25 cl,bac,Boissons
922822,Bruisend water,Eau pétillante,pack 6 x 1 L,pack,Boissons
259609,Cola,Cola,bac 24 x 33 cl,bac,Boissons
409908,Cola,Cola,"bouteille 1,5 L",L,Boissons
130930,Cola,Cola,"pack 6 x 1,5 L",pack,Boissons
457494,Cola zero,Cola zéro,bac 24 x 33 cl,bac,Boissons
452971,Cola zero,Cola zéro,"bouteille 1,5 L",L,Boissons
833530,Sinaasappelsap 100%,Jus d'orange 100%,brique 1 L,L,Boissons
913106,Sinaasappelsap 100%,Jus d'orange 100%,carton 12 x 1 L,carton,Boissons
579183,Sinaasappelsap 100%,Jus d'orange 100%,carton 6 x 1 L,carton,Boissons
384245,,Jus de pomme trouble,brique 1 L,L,Boissons
494970,Appelsap troebel,Jus de pomme trouble,carton 12 x 1 L,carton,Boissons
966006,Pils 5%,Bière pils 5%,bac 24 x 25 cl,bac,Boissons
602187,Pils 5%,Bière pils 5%,fût 20 L,L,Boissons
179231,Koffiebonen huismelange,Café en grains mélange maison,sac 1 kg,kg,Boissons
591331,Koffiebonen huismelange,Café en grains mélange maison,carton 6 x 1 kg,carton,Boissons
396132,Gemalen koffie,Café moulu,sac 1 kg,kg,Boissons
776957,Gemalen koffie,Café moulu,carton 6 x 1 kg,carton,Boissons
845096,Thee zwart,Thé noir,boîte 100 sachets,pièce,Boissons
725898,Chocolademelk,Lait chocolaté,brique 1 L,L,Boissons
861663,Chocolademelk,Lait chocolaté,carton 12 x 1 L,carton,Boissons
600577,Volle melk UHT,Lait entier UHT,brique 1 L,L,Produits laitiers
675211,Volle melk UHT,Lait entier UHT,carton 12 x 1 L,carton,Produits laitiers
104470,Volle melk UHT,Lait entier UHT,carton 6 x 1 L,carton,Produits laitiers
121663,Halfvolle melk UHT,Lait demi-écrémé UHT,brique 1 L,L,Produits laitiers
533404,Halfvolle melk UHT,Lait demi-écrémé UHT,carton 12 x 1 L,carton,Produits laitiers
328650,Room 40% VG,Crème 40% MG,brique 1 L,L,Produits laitiers
392722,Room 40% VG,Crème 40% MG,carton 12 x 1 L,carton,Produits laitiers
837631,Room 40% VG,Crème 40% MG,bidon 5 L,L,Produits laitiers
530339,Room 35% VG,Crème 35% MG,brique 1 L,L,Produits laitiers
280095,Room 35% VG,Crème 35% MG,carton 12 x 1 L,carton,Produits laitiers
839116,Eieren maat M,Œufs calibre M,plateau 30 pièces,pièce,Produits laitiers
207098,Eieren maat M,Œufs calibre M,carton 6 x 30 pièces,carton,Produits laitiers
869650,Eieren maat L,Œufs calibre L,plateau 30 pièces,pièce,Produits laitiers
435746,Eieren maat L,Œufs calibre L,carton 6 x 30 pièces,carton,Produits laitiers
914608,Vloeibaar heel ei,Œuf entier liquide,brique 1 kg,kg,Produits laitiers
136097,Vloeibaar heel ei,Œuf entier liquide,carton 6 x 1 kg,carton,Produits laitiers
135145,Vloeibaar eiwit,Blanc d'œuf liquide,brique 1 kg,kg,Produits laitiers
442575,Jonge gouda in plakken,Gouda jeune en tranches,sachet 1 kg,kg,Produits laitiers
445009,Jonge gouda in plakken,Gouda jeune en tranches,carton 5 x 1 kg,carton,Produits laitiers
233947,Emmental geraspt,Emmental râpé,sachet 1 kg,kg,Produits laitiers
251207,Emmental geraspt,Emmental râpé,"sac 2,5 kg",kg,Produits laitiers
616964,Mozzarella geraspt,Mozzarella râpée,"sac 2,5 kg",kg,Produits laitiers
459471,Mozzarella geraspt,Mozzarella râpée,sachet 1 kg,kg,Produits laitiers
382147,Platte kaas magere,Fromage blanc maigre,seau 5 kg,kg,Produits laitiers
849111,Yoghurt natuur,Yaourt nature,seau 5 kg,kg,Produits laitiers
921018,Smeerkaas natuur,Fromage à tartiner nature,"seau 1,5 kg",kg,Produits laitiers
856481,Smeerkaas natuur,Fromage à tartiner nature,"carton 4 x 1,5 kg",carton,Produits laitiers
839108,Gekookte ham schouder,Jambon cuit épaule,bloc 2 kg,kg,Charcuterie
621114,Gekookte ham schouder,Jambon cuit épaule,carton 4 x 2 kg,carton,Charcuterie
527060,Gekookte ham schouder,Jambon cuit épaule,bloc 5 kg,kg,Charcuterie
565718,Gekookte ham achterham,Jambon cuit supérieur,bloc 2 kg,kg,Charcuterie
625164,Gekookte ham achterham,Jambon cuit supérieur,bloc 5 kg,kg,Charcuterie
518147,Gerookte kipfilet,Filet de poulet fumé,bloc 1 kg,kg,Charcuterie
798263,Salami natuur,Salami nature,"bloc 1,5 kg",kg,Charcuterie
756777,Spekblokjes gerookt,Lardons fumés,sachet 1 kg,kg,Charcuterie
292396,Spekblokjes gerookt,Lardons fumés,carton 5 x 1 kg,carton,Charcuterie
602131,Américain bereid,Filet américain préparé,"seau 2,5 kg",kg,Charcuterie
838197,Kippenwit gebraden,Blanc de poulet rôti,bloc 2 kg,kg,Charcuterie
161752,Tomaten los,Tomates en vrac,bac 6 kg,kg,Légumes frais
594539,Tomaten los,Tomates en vrac,colis 5 kg,kg,Légumes frais
293663,Kerstomaten,Tomates cerises,bac 3 kg,kg,Légumes frais
739177,IJsbergsla,Salade iceberg,colis 12 pièces,pièce,Légumes frais
340845,Komkommer,Concombre,colis 12 pièces,pièce,Légumes frais
366264,Uien geel,Oignons jaunes,sac 10 kg,kg,Légumes frais
803163,Uien geel,,sac 25 kg,kg,Légumes frais
930869,Aardappelen bintje,Pommes de terre bintje,sac 25 kg,kg,Légumes frais
330777,Aardappelen bintje,Pommes de terre bintje,sac 10 kg,kg,Légumes frais
353415,Wortelen,Carottes,sac 10 kg,kg,Légumes frais
610808,Champignons wit,Champignons blancs,"bac 2,5 kg",kg,Légumes frais
629001,Citroenen,Citrons,colis 5 kg,kg,Légumes frais
657119,Fijn zout,Sel fin,sac 1 kg,kg,Épices et assaisonnements
245223,Fijn zout,Sel fin,sac 25 kg,kg,Épices et assaisonnements
207174,Fijn zout,Sel fin,carton 10 x 1 kg,carton,Épices et assaisonnements
353038,Grof zeezout,Gros sel marin,sac 25 kg,kg,Épices et assaisonnements
110825,Grof zeezout,Gros sel marin,sac 1 kg,kg,Épices et assaisonnements
267912,Zwarte peper gemalen,Poivre noir moulu,pot 1 kg,kg,Épices et assaisonnements
147582,Zwarte peper gemalen,Poivre noir moulu,pot 500 g,g,Épices et assaisonnements
742688,Paprikapoeder zoet,Paprika doux en poudre,pot 1 kg,kg,Épices et assaisonnements
815370,Kaneel gemalen,Cannelle moulue,pot 500 g,g,Épices et assaisonnements
745234,Vanillestokjes,Gousses de vanille,boîte 50 pièces,pièce,Épices et assaisonnements
457923,Kippenbouillon poeder,Bouillon de volaille en poudre,seau 1 kg,kg,Épices et assaisonnements
316204,Kippenbouillon poeder,Bouillon de volaille en poudre,seau 5 kg,kg,Épices et assaisonnements
862113,Provençaalse kruiden,Herbes de Provence,pot 500 g,g,Épices et assaisonnements
277342,Callets puur 54%,Chocolat noir 54% en callets,"sac 2,5 kg",kg,Chocolat et décors
276884,Callets puur 54%,Chocolat noir 54% en callets,"carton 4 x 2,5 kg",carton,Chocolat et décors
278294,Callets puur 54%,Chocolat noir 54% en callets,sac 10 kg,kg,Chocolat et décors
986208,Callets puur 56%,Chocolat noir 56% en callets,"sac 2,5 kg",kg,Chocolat et décors
970851,Callets puur 56%,Chocolat noir 56% en callets,"carton 4 x 2,5 kg",carton,Chocolat et décors
558356,"Callets melk 33,6%","Chocolat lait 33,6% en callets","sac 2,5 kg",kg,Chocolat et décors
867691,"Callets melk 33,6%","Chocolat lait 33,6% en callets",sac 10 kg,kg,Chocolat et décors
992775,"Callets melk 33,6%","Chocolat lait 33,6% en callets","carton 4 x 2,5 kg",carton,Chocolat et décors
474533,Callets wit 28%,Chocolat blanc 28% en callets,"sac 2,5 kg",kg,Chocolat et décors
303949,Callets wit 28%,Chocolat blanc 28% en callets,"carton 4 x 2,5 kg",carton,Chocolat et décors
110348,Cacaopoeder 22/24,Cacao en poudre 22/24,sac 1 kg,kg,Chocolat et décors
634793,Cacaopoeder 22/24,Cacao en poudre 22/24,sac 5 kg,kg,Chocolat et décors
707638,Chocoladepasta hazelnoot,Pâte à tartiner noisette,seau 5 kg,kg,Chocolat et décors
986405,Abrikozennappage,Nappage abricot,seau 7 kg,kg,Chocolat et décors
918733,Abrikozennappage,Nappage abricot,seau 14 kg,kg,Chocolat et décors
672505,Marsepein 25%,Massepain 25%,bloc 5 kg,kg,Chocolat et décors
615386,Langkorrelrijst,Riz long grain,sac 5 kg,kg,Riz et pâtes
909908,Langkorrelrijst,Riz long grain,sac 25 kg,kg,Riz et pâtes
140828,Risottorijst,Riz à risotto,sac 5 kg,kg,Riz et pâtes
210229,Spaghetti nr 5,Spaghetti n° 5,boîte 5 kg,kg,Riz et pâtes
956651,Spaghetti nr 5,Spaghetti n° 5,boîte 3 kg,kg,Riz et pâtes
820934,Penne rigate,Penne rigate,boîte 5 kg,kg,Riz et pâtes
307273,Penne rigate,Penne rigate,boîte 3 kg,kg,Riz et pâtes
931395,Lasagnebladen,Feuilles de lasagne,boîte 5 kg,kg,Riz et pâtes
299924,Couscous middelgrof,Couscous moyen,sac 5 kg,kg,Riz et pâtes
937314,Macaroni,Macaroni,boîte 5 kg,kg,Riz et pâtes
774290,Rozijnen sultana,Raisins secs sultanine,sac 5 kg,kg,Fruits secs
398954,Rozijnen sultana,Raisins secs sultanine,sac 1 kg,kg,Fruits secs
294124,Amandelschaafsel,Amandes effilées,sac 1 kg,kg,Fruits secs
776275,Amandelschaafsel,Amandes effilées,sac 5 kg,kg,Fruits secs
450479,Hazelnoten gebroken,Noisettes concassées,sac 1 kg,kg,Fruits secs
155394,Gedroogde abrikozen,Abricots secs,sac 5 kg,kg,Fruits secs
278231,Amandelpoeder,Poudre d'amandes,sac 1 kg,kg,Fruits secs
276106,Amandelpoeder,Poudre d'amandes,sac 5 kg,kg,Fruits secs
245394,Papieren broodzakken 18x35,Sacs à pain papier 18x35,paquet 1000 pièces,pièce,Emballages
535560,Papieren broodzakken 18x35,Sacs à pain papier 18x35,carton 5 x 1000 pièces,carton,Emballages
570505,Papieren broodzakken 18x35,Sacs à pain papier 18x35,paquet 500 pièces,pièce,Emballages
181821,Papieren broodzakken 22x45,Sacs à pain papier 22x45,paquet 1000 pièces,pièce,Emballages
973769,,Sacs à pain papier 22x45,carton 5 x 1000 pièces,carton,Emballages
678360,Bakpapier op rol,Papier cuisson en rouleau,rouleau 200 m,pièce,Emballages
655370,Bakpapier op rol,Papier cuisson en rouleau,carton 6 rouleaux,carton,Emballages
803873,Bakpapier vellen 40x60,Papier cuisson feuilles 40x60,boîte 500 feuilles,pièce,Emballages
677330,Draagtassen papier,Sacs de transport papier,paquet 250 pièces,pièce,Emballages
500581,Draagtassen papier,Sacs de transport papier,carton 4 x 250 pièces,carton,Emballages
233828,Cateringdozen karton,Boîtes traiteur carton,carton 100 pièces,carton,Emballages
710424,Cateringdozen karton,Boîtes traiteur carton,carton 200 pièces,carton,Emballages
898730,Servetten 33x33 wit,Serviettes 33x33 blanches,carton 2000 pièces,carton,Emballages
983269,Servetten 33x33 wit,Serviettes 33x33 blanches,paquet 100 pièces,pièce,Emballages
417121,Aluminium schalen 1/2 gastro,Barquettes alu 1/2 gastro,carton 500 pièces,carton,Emballages
942383,Vershoudfolie,Film alimentaire,rouleau 300 m,pièce,Emballages
824675,Aluminiumfolie,Papier aluminium,rouleau 150 m,pièce,Emballages
571391,Koffiebekers 18 cl,Gobelets à café 18 cl,carton 1000 pièces,carton,Emballages
263107,Koffiebekers 18 cl,Gobelets à café 18 cl,paquet 100 pièces,pièce,Emballages
142586,Sandwichzakjes,Sachets à sandwich,carton 1000 pièces,carton,Emballages
580126,Sandwichzakjes,Sachets à sandwich,paquet 250 pièces,pièce,Emballages
982929,Etiketten blanco 40x60,Étiquettes vierges 40x60,rouleau 1000 pièces,pièce,Emballages
107586,Handschoenen nitril maat L,Gants nitrile taille L,boîte 100 pièces,pièce,Emballages
233500,Handschoenen nitril maat L,Gants nitrile taille L,carton 10 x 100 pièces,carton,Emballages
957896,Vuilniszakken 120 L,Sacs poubelle 120 L,rouleau 25 pièces,pièce,Emballages
873263,Pizzadozen 33 cm,Boîtes à pizza 33 cm,carton 100 pièces,carton,Emballages
441848,Handafwasmiddel,Liquide vaisselle main,bidon 5 L,L,Entretien
124159,Handafwasmiddel,Liquide vaisselle main,bouteille 1 L,L,Entretien
802427,Machinevaatwasmiddel,Détergent lave-vaisselle,bidon 10 L,L,Entretien
914575,Ontvetter keuken,Dégraissant cuisine,bidon 5 L,L,Entretien
523984,Ovenreiniger,Nettoyant four,bidon 5 L,L,Entretien
967424,Handzeep,Savon pour les mains,bidon 5 L,L,Entretien
420262,Papieren handdoeken,Essuie-mains papier,carton 20 rouleaux,carton,Entretien
